Klient_id_klienta,Obszar_id_obszaru,Czas_id_czasu,Atrakcja_id_atrakcji,ilosc,cena,Platnosc_id_platnosc
671,3,22,11,3,232,2
1227,1,7,1,1,42,1
1681,3,23,12,4,55,2
2460,1,29,2,2,282,1
2140,2,20,7,5,114,1
2415,3,17,5,3,50,1
1248,1,15,15,1,122,2
137,2,26,4,3,68,1
2406,3,17,4,5,103,2
2219,2,19,3,4,232,2
2365,1,12,3,1,202,1
98,2,6,4,3,178,2
2843,3,6,8,1,48,1
341,1,4,10,5,113,2
1379,3,23,5,3,287,1
855,2,2,7,3,299,2
956,2,29,4,4,37,2
2447,2,21,10,4,233,2
432,1,17,4,2,226,2
1801,2,28,1,3,140,2
928,1,2,11,1,92,2
2073,1,12,2,2,268,2
1310,1,23,15,2,187,1
555,2,6,3,2,83,2
2705,1,7,3,4,64,2
783,2,27,10,3,267,1
379,1,5,1,5,280,1
1125,1,3,7,5,170,1
2085,3,15,13,1,50,2
338,1,29,11,4,67,1
1234,3,9,11,4,215,1
894,1,4,7,2,179,2
2589,1,23,13,4,133,2
2408,2,25,8,5,209,1
15,1,12,2,4,296,2
998,3,22,3,5,47,1
2350,2,12,13,3,100,1
96,1,27,3,4,194,2
1319,2,7,15,1,42,1
2644,3,11,8,3,181,2
1033,1,20,13,2,75,1
129,2,22,5,3,236,2
2902,2,29,1,2,125,2
918,2,7,13,1,58,2
1850,1,9,16,4,224,2
565,1,12,8,3,189,1
126,2,19,10,2,116,2
727,2,14,4,2,202,1
1557,2,29,5,1,61,1
1239,2,10,12,1,107,2
860,2,18,15,4,163,1
71,2,6,12,4,296,1
1887,3,23,8,1,205,2
2360,2,5,7,3,292,2
178,1,28,4,1,66,2
2510,3,8,8,1,238,1
2448,3,17,5,1,43,2
1735,2,7,16,4,59,1
463,2,17,5,3,201,2
984,1,16,12,5,143,2
5,2,2,16,5,76,2
1889,2,3,6,5,258,1
2167,3,9,7,1,153,2
1178,3,5,10,1,173,1
1555,1,16,5,4,297,2
161,1,1,13,5,172,2
2602,2,29,10,4,160,2
1647,1,11,14,5,59,2
2444,3,10,12,4,160,1
1595,2,3,5,5,274,2
1659,1,20,2,5,72,2
705,1,1,6,1,268,2
2472,1,14,11,5,291,1
778,3,1,5,1,141,1
2682,3,10,16,3,282,2
2939,3,23,1,5,52,2
2100,1,12,10,3,68,2
1161,2,19,16,5,146,1
1659,2,24,15,4,81,1
964,3,13,8,5,292,2
1401,3,20,15,5,207,2
1145,2,21,8,2,199,2
765,3,30,11,3,219,1
296,3,5,4,5,94,1
1878,3,4,11,1,263,2
2761,3,2,1,4,228,1
2940,1,14,8,3,255,1
2958,2,25,8,2,142,1
2264,2,22,16,3,78,2
1962,2,24,2,4,188,1
2167,3,18,12,5,99,1
2565,3,22,6,3,114,2
1614,1,7,15,3,178,1
1499,1,2,6,3,142,1
1560,2,12,13,2,227,1
1543,1,22,5,1,97,2
2286,3,20,1,5,61,1
819,2,7,6,1,75,1
1842,2,12,7,5,243,1
232,2,17,3,3,131,1
192,2,18,5,2,101,2
963,2,11,11,2,86,1
188,1,15,4,3,40,2
2135,1,27,6,3,182,2
1896,1,26,5,4,54,1
214,2,2,12,5,161,1
341,1,22,9,3,53,1
587,1,29,1,2,63,1
559,3,29,14,4,44,2
891,2,12,9,1,40,2
1659,2,15,11,3,193,2
830,1,24,15,3,210,1
152,3,9,7,5,261,2
2732,1,27,4,3,193,2
1689,1,30,8,1,36,2
1867,2,11,13,3,233,2
1613,1,29,4,2,98,1
1728,1,5,3,1,58,2
1109,2,14,2,1,241,2
2506,3,13,7,4,244,1
1302,3,19,8,1,293,1
2672,3,30,1,2,183,2
605,3,10,14,5,30,1
2669,3,20,9,5,82,2
1136,2,24,12,3,251,1
639,2,21,2,1,102,1
1968,2,3,11,2,226,2
2937,1,17,12,4,77,2
53,3,29,3,4,211,2
1122,1,10,15,4,258,2
872,2,24,13,4,238,1
1243,2,26,13,3,48,1
1367,1,1,11,4,191,1
1701,3,29,6,3,291,1
910,3,23,8,5,204,2
1436,3,29,1,3,113,2
1132,1,12,5,4,60,2
2818,1,7,2,2,244,2
2582,3,14,3,5,287,1
2501,1,9,10,3,221,2
1420,1,19,4,2,189,1
2048,2,2,16,5,128,1
1329,2,11,11,5,290,2
2761,2,28,10,2,162,2
2904,1,22,3,3,284,1
749,2,26,16,2,174,1
814,2,5,16,3,231,1
1736,3,29,10,4,126,2
1661,3,20,15,1,204,2
1509,1,25,8,3,272,1
2709,2,21,11,3,148,2
339,3,20,13,4,71,1
375,3,19,11,3,276,2
2848,1,1,2,5,155,2
233,1,15,3,5,83,2
1377,1,28,6,5,273,1
2660,1,5,6,3,117,1
1642,1,24,14,5,164,2
815,2,17,9,5,267,1
1396,1,19,15,5,222,2
1481,3,11,11,1,98,1
626,3,23,7,1,135,2
352,3,10,14,4,224,1
1886,2,24,16,1,139,1
2597,2,14,9,4,222,1
1553,2,6,16,2,270,1
2340,3,5,14,3,166,1
1321,1,1,5,5,159,2
958,2,22,16,5,203,1
934,1,26,9,4,158,2
732,1,27,8,5,63,2
1695,2,4,9,5,49,1
834,2,9,10,2,80,1
2668,2,30,7,2,224,1
1557,1,10,14,1,232,1
389,1,24,3,2,34,2
2840,2,14,16,3,277,1
2567,2,28,8,2,138,1
2081,3,2,10,3,132,1
980,3,22,14,2,91,1
871,2,14,15,1,149,2
2511,2,14,11,5,147,2
2170,2,12,12,2,257,1
711,3,18,16,4,221,2
2479,3,3,4,4,268,2
259,2,17,2,5,141,2
1116,2,27,10,5,133,2
1165,2,4,16,2,222,1
2259,3,28,9,4,117,1
2372,2,14,2,3,56,2
2858,3,19,7,3,186,2
326,3,11,12,2,34,1
1183,3,8,5,1,168,1
1722,2,18,4,1,258,2
785,2,15,7,2,290,1
1613,2,18,16,1,80,2
583,2,26,7,2,184,1
1238,1,25,7,3,112,1
524,1,6,6,4,106,2
667,3,10,1,1,30,2
1333,3,11,1,2,215,1
157,3,25,13,2,79,2
866,3,1,12,4,45,1
1384,2,19,7,5,245,2
2161,2,12,5,3,175,2
1476,2,11,5,4,299,1
909,2,17,8,1,299,2
555,1,11,7,5,163,2
787,3,20,7,5,140,1
605,2,16,12,4,267,2
629,3,14,1,1,95,1
176,1,29,13,4,40,2
755,1,26,10,1,296,1
2205,3,26,12,3,243,1
2764,1,23,8,1,67,2
1837,3,11,15,2,252,1
2021,3,19,2,2,244,2
1213,2,3,10,5,183,1
2926,2,10,8,3,45,1
90,1,11,11,5,181,2
406,2,23,13,1,37,1
5,1,19,4,5,70,2
1085,3,26,4,3,165,2
893,1,13,13,4,48,2
1530,1,13,8,2,113,1
437,2,25,12,3,141,2
1129,3,8,8,5,197,2
1550,2,14,6,1,30,2
1494,1,30,7,5,142,1
2876,1,23,13,5,96,1
973,1,15,1,1,209,2
1000,1,11,14,3,293,2
2317,3,5,3,2,146,2
98,3,11,10,5,160,1
1399,2,21,2,2,152,1
1318,3,10,16,2,277,1
423,2,16,9,3,164,1
816,2,18,9,5,183,1
731,1,14,2,1,166,2
2040,2,24,2,3,246,1
2937,3,7,16,3,160,2
492,3,3,9,5,92,1
2634,1,16,9,5,273,1
2477,3,27,3,3,110,1
2990,3,14,15,4,260,1
2340,2,17,5,1,138,1
1002,2,17,4,2,211,2
1602,1,16,11,5,67,1
2944,1,25,2,1,146,1
238,2,20,5,2,273,1
2215,3,8,13,3,61,1
1426,2,29,3,4,207,1
1405,3,9,13,4,67,2
156,3,6,15,5,276,1
2242,3,28,15,4,220,2
882,1,26,7,1,208,2
2954,3,29,9,4,220,2
2138,2,15,11,4,110,2
658,1,27,9,2,94,2
1304,1,8,14,5,210,1
1960,2,12,12,3,108,1
2705,1,11,4,2,203,1
1656,2,8,1,3,59,1
629,3,27,14,3,240,2
2395,3,22,14,1,147,1
2746,1,29,5,1,197,1
2463,2,10,16,3,217,2
1891,1,26,9,3,57,1
1482,2,27,1,3,169,1
1542,2,12,3,2,293,2
986,1,22,7,3,234,1
1163,2,25,14,1,210,1
2134,3,8,8,2,196,1
1694,1,7,8,1,87,1
2765,3,25,7,4,96,1
2219,1,5,2,2,44,1
2971,1,7,7,5,282,2
2324,1,21,14,2,88,2
546,2,28,7,3,52,1
1761,3,14,6,3,263,2
2216,1,13,16,3,115,2
95,1,2,5,2,166,1
2502,1,16,6,1,175,2
1883,1,21,13,5,202,1
170,3,2,7,1,254,1
